Pin,Text,Direction
1,PE2,L
2,PE3,L
3,PE4,L
4,PE5,L
5,PE6,L
6,VBAT,L
7,PC13,L
8,PC14,L
9,PC15,L
10,VSS,L
11,VDD,L
12,PH0,L
13,PH1,L
14,NRST,L
15,PC0,L
16,PC1,L
17,PC2,L
18,PC3,L
19,VDD,L
20,VSSA,L
21,VREF+,L
22,VDDA,L
23,PA0,L
24,PA1,L
25,PA2,L
26,PA3,D
27,VSS,D
28,VDD,D
29,PA4,D
30,PA5,D
31,PA6,D
32,PA7,D
33,PC4,D
34,PC5,D
35,PB0,D
36,PB1,D
37,PB2,D
38,PE7,D
39,PE8,D
40,PE9,D
41,PE10,D
42,PE11,D
43,PE12,D
44,PE13,D
45,PE14,D
46,PE15,D
47,PB10,D
48,PB11,D
49,VCAP_1,D
50,VDD,D
51,PB12,R
52,PB13,R
53,PB14,R
54,PB15,R
55,PD8,R
56,PD9,R
57,PD10,R
58,PD11,R
59,PD12,R
60,PD13,R
61,PD14,R
62,PD15,R
63,PC6,R
64,PC7,R
65,PC8,R
66,PC9,R
67,PA8,R
68,PA9,R
69,PA10,R
70,PA11,R
71,PA12,R
72,PA13,R
73,VCAP_2,R
74,VSS,R
75,VDD,R
76,PA14,U
77,PA15,U
78,PC10,U
79,PC11,U
80,PC12,U
81,PD0,U
82,PD1,U
83,PD2,U
84,PD3,U
85,PD4,U
86,PD5,U
87,PD6,U
88,PD7,U
89,PB3,U
90,PB4,U
91,PB5,U
92,PB6,U
93,PB7,U
94,BOOT0,U
95,PB8,U
96,PB9,U
97,PE0,U
98,PE1,U
99,VSS,U
100,VDD,U
